Teacher 1: Email: teacher1@test.com, Password: password123
Teacher 2: Email: teacher2@test.com, Password: password123
Teacher 3: Email: teacher3@test.com, Password: password123

Student 1: Email: student1@test.com, Password: password123
Student 2: Email: student2@test.com, Password: password123
Student 3: Email: student3@test.com, Password: password123
Student 4: Email: student4@test.com, Password: password123
Student 5: Email: student5@test.com, Password: password123
Student 6: Email: student6@test.com, Password: password123
Student 7: Email: student7@test.com, Password: password123
Student 8: Email: student8@test.com, Password: password123
Student 9: Email: student9@test.com, Password: password123
Student 10: Email: student10@test.com, Password: password123
